,train,val,test
0,TCGA-05-4245-01A-01-BS1.41d3cf23-4e36-4e42-9e08-adfea139f37e,TCGA-05-4250-01A-01-BS1.7e972936-987c-4e66-b640-b889837337e9,TCGA-05-4244-01A-01-BS1.90f043f6-e8d5-4cfd-b4e7-84207bc499a6
1,TCGA-05-4245-01A-01-TS1.bf71c76b-e802-4a7a-b6c3-c5f46212fab0,TCGA-05-4250-01A-01-TS1.5c50e0e0-1414-43f6-8fe1-13fbbcac5ec0,TCGA-05-4244-01A-01-TS1.6c46d8c3-d7b4-4513-af31-9170244d60a7
2,TCGA-05-4245-01Z-00-DX1.36ff5403-d4bb-4415-b2c5-7c750d655cde,TCGA-05-4250-01Z-00-DX1.90f67fdf-dff9-46ca-af71-0978d7c221ba,TCGA-05-4244-01Z-00-DX1.d4ff32cd-38cf-40ea-8213-45c2b100ac01
3,TCGA-05-4382-01A-01-BS1.ac519a18-8590-4fab-8af6-bb43fbe65310,TCGA-05-4405-01A-01-BS1.d22826d5-3b2a-4b41-8c46-855b87dd4e6d,TCGA-05-4249-01A-01-BS1.38c41760-cc43-4904-9575-803d1d92b992
4,TCGA-05-4382-01A-01-TS1.8db4f123-fdc3-419c-a59d-fca2ca83a597,TCGA-05-4405-01A-02-BS2.a4ee62d5-ec40-4ceb-9109-ca799b9f4c1e,TCGA-05-4249-01A-01-TS1.912c8d26-dc9f-4bae-bfcd-559cf234c921
5,TCGA-05-4382-01Z-00-DX1.76b49a4c-dbbb-48b0-b677-6d3037e5ce88,TCGA-05-4405-01Z-00-DX1.D57EC2B2-3A59-4954-86A7-61782938BCC5,TCGA-05-4249-01Z-00-DX1.9fce0297-cc19-4c04-872c-4466ee4024db
6,TCGA-05-4384-01A-01-BS1.dae26cb5-1554-4ff8-997d-2f1c70101051,TCGA-05-4415-01A-01-BS1.5c754d4d-2888-474d-a008-3bfba54a9b3b,TCGA-05-4418-01A-01-BS1.929cb56b-2bb8-4698-9bde-9073c3dbe831
7,TCGA-05-4384-01A-01-TS1.e4d430ce-bc0e-4446-8a7a-bb831e1285ac,TCGA-05-4415-01A-02-BS2.a7e9ec2e-fda7-4d40-a58c-7d8f49868eca,TCGA-05-4418-01A-01-TS1.61b48f7c-970a-4cd9-87f7-b2da39b58842
8,TCGA-05-4384-01Z-00-DX1.CA68BF29-BBE3-4C8E-B48B-554431A9EE13,TCGA-05-4415-01Z-00-DX1.55E0C429-B308-4962-8DA9-41D7D3F7764E,TCGA-05-4418-01Z-00-DX1.f3863ea5-564f-482f-9878-cc104cf69401
9,TCGA-05-4389-01A-01-BS1.20fc0609-bf70-479e-af94-b15f4c46bc69,TCGA-05-4426-01A-01-BS1.1f288ec4-45bc-4a5b-a3ae-b0deee84e57b,TCGA-05-4427-01A-01-BS1.e5742d57-c232-477d-b433-fc8f9c596535
10,TCGA-05-4389-01A-01-TS1.8609dd2e-0f65-4941-83f1-8ddc66175c69,TCGA-05-4426-01A-01-TS1.83a1f69d-9362-4ac3-9a36-3150eae89519,TCGA-05-4427-01A-02-BS2.aef8bacf-44d0-4974-8502-a9e51b885f34
11,TCGA-05-4390-01A-01-BS1.38f2a7ef-442a-4fa6-acad-6e5d567bdcfd,TCGA-05-4426-01Z-00-DX1.4c9da782-f4aa-4c4f-b3aa-fae2259f236f,TCGA-05-4427-01Z-00-DX1.36CF4E93-3FBB-4346-A26B-85F0D9D0575D
12,TCGA-05-4390-01A-01-TS1.df635aeb-4e20-4e96-a64b-bd985c55bd62,TCGA-18-3408-01A-01-BS1.6da3d3b3-e891-4922-9135-70fc9cf8959f,TCGA-05-5425-01A-01-BS1.259004dc-6769-4f66-afa3-57a4d8e0edb5
13,TCGA-05-4390-01A-02-BS2.a85d2b2a-2e47-475f-8c98-318ae02e16c4,TCGA-18-3408-01Z-00-DX1.B4AFC08A-7460-4EE6-B033-629C6A6CA6E8,TCGA-05-5425-01A-02-BS2.8624a43c-b01f-4fb2-a45c-626e17444d84
14,TCGA-05-4390-01Z-00-DX1.858E64DF-DD3E-4F43-B7C1-CE35B33F1C90,TCGA-18-5592-01A-01-BS1.3c16b76c-4eb1-4494-8d52-308106914c44,TCGA-05-5425-01Z-00-DX1.85865B2F-4888-43DD-A501-458BEFCF832B
15,TCGA-05-4395-01A-01-BS1.c45b7695-9070-497c-9bd9-fd6d1324e478,TCGA-18-5592-01A-01-TS1.e7280bfc-a976-462a-9b64-da7a85d2832c,TCGA-18-4083-01A-01-BS1.4843bd2a-7f8d-41d7-98dc-f8d7bcbc0843
16,TCGA-05-4395-01A-01-TS1.5765cb40-0523-4969-ae42-54e3f18b27a6,TCGA-18-5592-01Z-00-DX1.41BD6380-A3A0-4ED1-8752-42BBC3B4680C,TCGA-18-4083-01Z-00-DX1.337D4583-326F-4108-9441-DC74FAED6AE2
17,TCGA-05-4395-01Z-00-DX1.20205276-ca16-46b2-914a-fe5e576a5cf9,TCGA-18-5592-11A-01-TS1.d40b8758-20ca-4d59-88bb-502cceed8995,TCGA-18-4083-11A-01-BS1.6c73d945-b6a6-401e-a393-e8f22c934931
18,TCGA-05-4396-01A-01-BS1.acdc290a-7c12-4b59-8e5f-0b13fb7dbf2d,TCGA-21-1070-01A-01-BS1.993bb6b3-3cfd-4bf4-8744-988cd301c956,TCGA-18-4083-11A-01-TS1.96b87086-c529-4b56-89ff-10464ce2ecd6
19,TCGA-05-4396-01A-02-BS2.23cf2a72-6fe5-4fb4-91e8-fd855bfce541,TCGA-21-1070-01A-01-TS1.9a16d46b-b091-4280-afa8-f83ac131eb02,TCGA-18-5595-01A-01-TS1.be514e20-bdae-4ab5-9b2f-e87238540594
20,TCGA-05-4396-01Z-00-DX1.49DD5F68-7473-4945-B384-EA6D5AE383CB,TCGA-21-1070-01Z-00-DX1.06363f8a-ef29-4d73-95da-a3172d7873c0,TCGA-18-5595-01Z-00-DX1.75235488-2F6F-42CE-8D7D-0E9A360E1C61
21,TCGA-05-4397-01A-01-BS1.21dd4531-70cf-47d6-955b-66af4ea85faf,TCGA-21-1072-01A-01-BS1.e1ef5626-2988-4d7e-8225-62fc00d57a2c,TCGA-18-5595-11A-01-TS1.63f4fd71-cd1e-448d-8d0a-6d65c9b171c9
22,TCGA-05-4397-01A-01-TS1.e4fe3921-3510-4404-90a7-09e4eb93ab3e,TCGA-21-1072-01A-01-TS1.d59a6b96-5f41-4aa6-805c-2c39d2b31347,TCGA-22-1017-01A-01-BS1.11cafdf3-8c27-4dbb-a970-8fe234201ce4
23,TCGA-05-4397-01Z-00-DX1.00e9cdb3-b50e-439c-86b0-d7b73b802c0d,TCGA-21-1072-01Z-00-DX1.9e6c90ad-0529-4b8b-a4f8-1b05430600f9,TCGA-22-1017-01A-01-TS1.9e5d298a-095d-4784-a73f-a92c0be4fe3a
24,TCGA-05-4398-01A-01-BS1.844b45df-df4e-41e1-9608-2743644bbcd1,TCGA-21-1075-01A-01-BS1.6842c0d2-e3db-4840-abb6-a012ea8bbe22,TCGA-22-1017-01Z-00-DX1.9562FE79-A261-42D3-B394-F3E0E2FF7DDA
25,TCGA-05-4398-01A-01-TS1.061af2c7-1143-430d-8286-1996405ab057,TCGA-21-1075-01A-01-TS1.6a2e03f6-450d-48e6-8822-eb63addcd5b5,TCGA-22-4593-01A-01-BS1.cd5e248f-9540-4bf6-8d6c-ce86f57bd74d
26,TCGA-05-4398-01Z-00-DX1.269bc75f-492e-48b1-87ee-85924aa80e74,TCGA-21-1075-01Z-00-DX1.937872ae-4d6f-4d7a-b54f-b7e797cb84b0,TCGA-22-4593-01A-02-BS2.f53ff984-52d3-4c5e-976b-ab76122da04a
27,TCGA-05-4402-01A-01-BS1.7d2bb641-7bf8-4806-a3da-3b3a10760c1f,,TCGA-22-4593-01Z-00-DX1.B573D1D5-88CE-4989-8A18-F9545E8ACA82
28,TCGA-05-4402-01A-01-TS1.3b8d1da1-7110-4ecd-91e6-45c000dc869c,,TCGA-22-4593-11A-01-TS1.d201493f-1067-4e6c-84e3-b203f3397a93
29,TCGA-05-4402-01Z-00-DX1.c653ddc2-88c1-45ac-88e7-4e512b8e8d53,,
30,TCGA-05-4403-01A-01-BS1.f732ca27-f2a5-4183-a35a-6f6fd3cc8392,,
31,TCGA-05-4403-01A-01-TS1.4ea11b71-999c-4073-ab56-c6da0eb310f8,,
32,TCGA-05-4403-01Z-00-DX1.fee8e988-956c-42a2-a6c5-06b6d6736295,,
33,TCGA-05-4410-01A-01-BS1.9f17e837-5c04-4f1b-8438-d49fa409d361,,
34,TCGA-05-4410-01A-02-BS2.358046d0-94e0-4576-8a3a-17028da63b42,,
35,TCGA-05-4410-01Z-00-DX1.E5B66334-4949-4F45-9200-296B1A2F1AD5,,
36,TCGA-05-4417-01A-01-BS1.77504096-c1dd-4bbf-ab1a-c12fde152fc1,,
37,TCGA-05-4417-01A-02-BS2.5e476601-0b01-498c-b97e-7f6daa5cbcf2,,
38,TCGA-05-4417-01Z-00-DX1.6E534856-996F-4BD9-8AFC-7B1BF627E505,,
39,TCGA-05-4420-01A-01-BS1.d5af72a1-39d5-4060-93ee-aafefce8622d,,
40,TCGA-05-4420-01A-01-TS1.ca743cbe-1c69-4096-97d6-1b83489d1b79,,
41,TCGA-05-4420-01Z-00-DX1.2df0552e-87dc-491e-9be2-be8fbce2660d,,
42,TCGA-05-4422-01A-01-BS1.bdd3ea06-6f9c-4add-ae8c-35390a8bb871,,
43,TCGA-05-4422-01A-01-TS1.5d361e7b-9988-4e61-80c3-268933a3f4be,,
44,TCGA-05-4422-01Z-00-DX1.4802093f-71ea-43d5-bd92-b4bd7fc8c5bf,,
45,TCGA-05-4424-01A-01-BS1.d0939da5-baae-4f63-a2e8-4577988cee81,,
46,TCGA-05-4424-01A-02-BS2.f6633661-43a2-40d8-9525-91b7145405dd,,
47,TCGA-05-4424-01Z-00-DX1.4892016C-1A96-4A72-ACB8-FFD282FC4E69,,
48,TCGA-05-4425-01A-01-BS1.1d187624-0bc1-4e49-9546-2003f2855103,,
49,TCGA-05-4425-01A-01-TS1.da18378d-f5e5-4b22-9ad6-c53365c20945,,
50,TCGA-05-4425-01Z-00-DX1.82B093EE-49BC-4FD9-91AC-4CC89944309D,,
51,TCGA-05-4430-01A-01-BS1.ddcc645f-ec88-4853-a0cf-7d294d8803e0,,
52,TCGA-05-4430-01A-02-BS2.4f136698-11e3-4ba5-90ed-490dd15b0b38,,
53,TCGA-05-4430-01Z-00-DX1.95659bbb-3091-4370-bc1d-6c6c1baa7b3d,,
54,TCGA-05-4432-01A-01-BS1.81d59eb6-b750-4d71-820d-f207288d4514,,
55,TCGA-05-4432-01A-01-TS1.87571f3d-8856-4e67-8916-4eecb922fae2,,
56,TCGA-05-4432-01Z-00-DX1.90d00d62-402b-404a-85e2-0edf869193ab,,
57,TCGA-05-4433-01A-01-BS1.ea4bd6a1-85d1-443c-b58a-9132ddf16a28,,
58,TCGA-05-4433-01A-02-BS2.d9965553-5b9d-48b0-bf8c-4efb3515066c,,
59,TCGA-05-4433-01Z-00-DX1.5843D3CC-CB24-4A0A-BB65-78A5DAA11D84,,
60,TCGA-05-4434-01A-01-BS1.dcbe2476-4a1b-437c-b599-c0993686f679,,
61,TCGA-05-4434-01A-01-TS1.3c35bf16-9ae7-48c3-8ed2-98ac1cacd7d8,,
62,TCGA-05-4434-01Z-00-DX1.f3f5c89c-306f-4876-98fa-f7bd231f2e10,,
63,TCGA-18-3406-01A-01-BS1.64ccb223-fed0-4472-92f0-8789ac4afc59,,
64,TCGA-18-3406-01A-01-TS1.a9f60826-a270-4e3c-881f-2b8df24a5285,,
65,TCGA-18-3406-01Z-00-DX1.8D07F006-425C-4724-BBB3-5BA099401234,,
66,TCGA-18-3406-11A-01-TS1.bebef82c-348c-4686-8bcb-a8117a92da8e,,
67,TCGA-18-3407-01A-01-BS1.6115884c-8a3c-4a85-ac0f-f214fa5d4c55,,
68,TCGA-18-3407-01A-01-TS1.eb6d8014-eaf9-4679-955f-8ad4c5205850,,
69,TCGA-18-3407-01Z-00-DX1.E7DDA7E3-45A2-4E06-A081-E6A81A672155,,
70,TCGA-18-3407-11A-01-BS1.6fa61035-bdb7-4cb0-becb-7d5c999ed1e3,,
71,TCGA-18-3407-11A-01-TS1.79911757-f4d7-4e20-91f4-5779d076c666,,
72,TCGA-18-3409-01A-01-BS1.df6b80d8-7ae7-47ae-b674-5e030cfc4999,,
73,TCGA-18-3409-01A-01-TS1.a0d1ce11-2dac-48be-97bc-eb226c51190c,,
74,TCGA-18-3409-01Z-00-DX1.3E32CC78-B066-4F85-A781-EDAF39DE0704,,
75,TCGA-18-3409-11A-01-TS1.9bd57bcc-6f43-40ff-b8f5-ab028bc17e65,,
76,TCGA-18-3410-01A-01-BS1.09c41a54-9a42-4031-ab05-6f955e109ba5,,
77,TCGA-18-3410-01A-01-TS1.45efb645-1426-47fb-90ff-eebc36fb9c3c,,
78,TCGA-18-3410-01Z-00-DX1.DB186D75-4AEE-4E1B-83D5-5A1970F03581,,
79,TCGA-18-3410-11A-01-BS1.69eef7c1-1705-4ee6-9d87-d77b0b5062e4,,
80,TCGA-18-3410-11A-01-TS1.52656dfe-d9fe-4d19-baf9-b5d8a2c72631,,
81,TCGA-18-3411-01A-01-BS1.45372e19-1f8e-4d40-8df1-76ed5e0d8bae,,
82,TCGA-18-3411-01A-01-TS1.c1a2993d-f8b2-4876-9af6-d481daae85de,,
83,TCGA-18-3411-01Z-00-DX1.D9228674-5B13-44CB-A7AE-C64FD97A3BBB,,
84,TCGA-18-3411-11A-01-BS1.b9f8d2b9-6e15-4e85-807c-3b3b12584111,,
85,TCGA-18-3411-11A-01-TS1.16765476-ae6c-4777-9d27-768bd0fd7d84,,
86,TCGA-18-3412-01A-01-BS1.7fc01d2d-b99f-4b09-82cd-e342469c3157,,
87,TCGA-18-3412-01A-01-TS1.308b9a22-774c-40c0-8b62-4d60f00900a9,,
88,TCGA-18-3412-01Z-00-DX1.699A17A5-356B-42F8-815A-5DBD60293242,,
89,TCGA-18-3412-11A-01-TS1.605378ad-7396-47b3-b41b-7fef77d32a42,,
90,TCGA-18-3414-01A-01-TS1.fc2291c6-270c-4df5-a1ce-5effd58d6642,,
91,TCGA-18-3414-01Z-00-DX1.B76AF657-7A93-4F33-BC1A-2E8BF652FC17,,
92,TCGA-18-3414-11A-01-BS1.edf5cb23-187e-4de7-9801-1c5f9d9309b5,,
93,TCGA-18-3414-11A-01-TS1.7f358ff4-0e30-4d71-a38a-2908b7092ba4,,
94,TCGA-18-3415-01A-01-BS1.e209bab5-6fc4-40c3-baba-679f40ef3339,,
95,TCGA-18-3415-01A-01-TS1.d922ab4a-e5c2-4b49-a173-964e569e3985,,
96,TCGA-18-3415-01Z-00-DX1.8C62F2CD-4A2F-4D1E-A662-D7D5AFE557AB,,
97,TCGA-18-3415-11A-01-BS1.5a0604b5-2862-491a-b19c-5e4ecda90292,,
98,TCGA-18-3415-11A-01-TS1.b1e85518-9f4e-4599-87f8-1846fcb70a87,,
99,TCGA-18-3416-01A-01-BS1.499f2382-42c4-448d-9753-c0445d7ac136,,
100,TCGA-18-3416-01A-01-TS1.e4d21a40-2cd1-4591-a2f9-68c4fe9e6a7f,,
101,TCGA-18-3416-01Z-00-DX1.EDAD3DEB-8A86-4F34-82EC-6691BFDE900D,,
102,TCGA-18-3416-11A-01-BS1.3c05b988-8eb1-4dd6-811f-e77747e164c4,,
103,TCGA-18-3416-11A-01-TS1.ec4422db-c475-4b42-93b7-2d263faffb95,,
104,TCGA-18-3417-01A-01-BS1.14671dc9-e87d-457e-9f00-e977d31bb190,,
105,TCGA-18-3417-01A-01-TS1.b93cab89-2dee-42e8-b352-12f00f8a917c,,
106,TCGA-18-3417-01Z-00-DX1.B424DA03-9007-4FD0-9A92-BCB40319711C,,
107,TCGA-18-3417-11A-01-TS1.ac68543a-bb8a-4ec0-a056-bec12c9ef66e,,
108,TCGA-18-3419-01A-01-BS1.258a5fb6-f212-4a6a-a43a-75541f043038,,
109,TCGA-18-3419-01A-01-TS1.2fbc3ed1-8e87-4012-a0cb-5dfb6af272b3,,
110,TCGA-18-3419-01Z-00-DX1.69597BCF-2D4E-4D9B-B4E8-C03137445AF4,,
111,TCGA-18-3421-01A-01-BS1.fbc15d3d-6c4e-4fb5-8ca2-3510a827f101,,
112,TCGA-18-3421-01A-01-TS1.de5fc45f-2235-460b-8c7f-d5dd9accb257,,
113,TCGA-18-3421-01Z-00-DX1.3777597A-8B36-48A9-B950-C8233392A6D5,,
114,TCGA-18-3421-11A-01-TS1.238dc18f-02bb-4ce2-af03-5ef30bcd5298,,
115,TCGA-18-4086-01A-01-BS1.9a5b32a6-401b-4a42-a821-48e4fcc15499,,
116,TCGA-18-4086-01A-01-TS1.c08f1554-a8ff-429e-929e-11761c4a9ca2,,
117,TCGA-18-4086-01Z-00-DX1.1D06B771-F978-4763-8D4E-7B540E02C55A,,
118,TCGA-18-4086-11A-01-BS1.9aa91396-2650-40d5-96e8-9996d199ccf2,,
119,TCGA-18-4086-11A-01-TS1.54bc9366-2449-4db5-9a6a-ae3401314b65,,
120,TCGA-21-1071-01A-01-BS1.2a817266-2808-4557-8f7f-0d2c79ffed0d,,
121,TCGA-21-1071-01A-01-TS1.a3bb2115-74be-4f05-bf67-8b3b3bd801bf,,
122,TCGA-21-1071-01Z-00-DX1.a9bba825-1c92-4101-9086-c4d1c91117af,,
123,TCGA-21-1076-01A-01-BS1.7c3e12f1-2db9-464d-afc3-5a902abdaa00,,
124,TCGA-21-1076-01A-01-TS1.545d266b-d86f-4f83-8f5b-a57524f7e074,,
125,TCGA-21-1076-01A-02-BS2.c8953346-e558-46f7-aeef-792a4d2b448f,,
126,TCGA-21-1076-01Z-00-DX1.533ca070-93e0-4d49-8770-8f42f341ca38,,
127,TCGA-21-1077-01A-01-BS1.d7b06193-e343-48d6-94ea-abad10ebd093,,
128,TCGA-21-1077-01A-01-TS1.09a13e94-d2fb-46ac-9ef7-d9381f794964,,
129,TCGA-21-1077-01Z-00-DX1.e7d0d3ca-b24c-4b2b-bb8f-13cc6991fb78,,
130,TCGA-21-1078-01A-01-BS1.56710efa-243b-4705-a846-ffae51499325,,
131,TCGA-21-1078-01A-01-TS1.ed9efb62-407c-4a69-8d70-2995386dcb9e,,
132,TCGA-21-1078-01Z-00-DX1.12d4a290-04fa-413e-b274-7c143d42c266,,
133,TCGA-21-1079-01A-01-BS1.6ba16858-9140-403f-ab71-44ce797e7c7f,,
134,TCGA-21-1079-01A-01-TS1.eef90c86-dc6c-4fe2-80e8-44250b4f002f,,
135,TCGA-21-1079-01Z-00-DX1.fb8e44cd-f73f-48a4-82d2-34f334d79f53,,
136,TCGA-21-1080-01A-01-BS1.07776f13-668c-44a8-ad9e-1d967efc1c76,,
137,TCGA-21-1080-01A-01-TS1.826518c6-164c-4289-9af4-8e7a06cd6fe2,,
138,TCGA-21-1080-01Z-00-DX1.7afa55df-e460-406e-ae9a-43ac4a71d0b0,,
139,TCGA-21-1081-01A-01-BS1.6446a1fd-2fba-4f1f-b2d6-e6f1735f0faf,,
140,TCGA-21-1081-01A-01-TS1.af84773d-dc7b-4072-9c90-7bbeb0424e0e,,
141,TCGA-21-1081-01Z-00-DX1.fce8927a-2c5f-4a64-8414-da66424b3859,,
