,folds,test_auc,val_auc,test_acc,val_acc
0,0,1.0,1.0,0.962962962962963,1.0
1,1,0.9831932773109244,1.0,0.9166666666666666,1.0
2,2,1.0,0.8857142857142858,0.962962962962963,0.8947368421052632
3,3,0.9920634920634921,1.0,0.96,1.0
4,4,0.8721804511278196,1.0,0.8461538461538461,1.0
5,5,1.0,0.9166666666666667,0.9545454545454546,0.75
6,6,0.8645833333333334,1.0,0.9090909090909091,0.9444444444444444
7,7,1.0,0.9444444444444444,0.9130434782608696,0.95
8,8,1.0,1.0,0.9090909090909091,1.0
9,9,0.9841269841269842,1.0,0.8888888888888888,1.0
