,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9814085556021039,0.964965211946344,0.9010989010989011,0.8888888888888888
1,1,0.9643617070911518,0.9637327547004966,0.8333333333333334,0.9101123595505618
2,2,0.9422639715608465,0.949401558660818,0.825,0.8333333333333334
3,3,0.912253684384832,0.9824095022624434,0.813953488372093,0.9069767441860466
4,4,0.9723097710440926,0.9332873285712097,0.8681318681318682,0.7764705882352941
5,5,0.9651871838312517,0.9515294778991307,0.8735632183908046,0.8260869565217391
6,6,0.9328921469263497,0.9383534461883135,0.7857142857142857,0.8414634146341463
7,7,0.96945375734418,0.9678749984951335,0.8953488372093024,0.8295454545454546
8,8,0.9175885662907138,0.9812708956161657,0.8181818181818181,0.8829787234042553
9,9,0.9389251152591737,0.9675978350933548,0.8020833333333334,0.9148936170212766
