,train,val,test
TCGA-KL-8344-11A-01-TS1.c520cd69-8520-49c7-a52d-b7141abe27d6,True,False,False
TCGA-UW-A7GG-11Z-00-DX1.35E063D3-7E85-4BEB-9807-26F96CE31364,True,False,False
TCGA-UW-A7GK-11Z-00-DX1.123382DA-3237-4467-ADDD-21A1617DF4E8,True,False,False
TCGA-UW-A7GU-11Z-00-DX1.BC340CDF-7F82-4314-86BA-E003AE43389D,True,False,False
TCGA-KL-8323-01A-01-BS1.1cb2c073-2b42-4ac5-8dae-1fff5a015260,True,False,False
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c,True,False,False
TCGA-KL-8323-11A-01-TS1.03244a58-76a3-4550-8065-2a7e765f93e6,True,False,False
TCGA-KL-8324-01A-01-BS1.5668efb5-e446-4aef-a7c8-6662c1bba287,True,False,False
TCGA-KL-8324-01A-01-TS1.20a2ebb7-ea3e-45cf-b401-be034131177e,True,False,False
TCGA-KL-8324-11A-01-TS1.d1ff930c-2558-43ac-bf66-8831cd4bdc50,True,False,False
TCGA-KL-8325-01A-01-BS1.bff0bad0-1538-4fc7-80f8-a3f03980e1e5,True,False,False
TCGA-KL-8325-01A-01-TS1.a899a903-f702-4de7-bc9a-ef58aa58bdb4,True,False,False
TCGA-KL-8325-11A-01-TS1.812ee4d6-ce7e-4cdc-9ce9-5de331ccd823,True,False,False
TCGA-KL-8326-01A-01-TS1.56c60cff-8664-44c4-ab20-e3937966fd0a,True,False,False
TCGA-KL-8326-11A-01-TS1.d7fbb3f2-2192-4e0c-a6fc-1e49794d8b2a,True,False,False
TCGA-KL-8327-01A-01-BS1.8309bcf0-d145-4d76-8199-a0cfd5f61133,True,False,False
TCGA-KL-8327-01Z-00-DX1.f3009cdc-baf7-45ba-95a6-1b6311799cc8,True,False,False
TCGA-KL-8327-11A-01-TS1.0915a1ac-e9ee-4e39-883c-72a299fcc403,True,False,False
TCGA-KL-8328-01Z-00-DX1.497ddcb5-0436-4c76-a633-4744e24e6efe,True,False,False
TCGA-KL-8328-11A-01-TS1.44ce645c-5613-4319-9345-d81ae2384c3a,True,False,False
TCGA-KL-8330-01A-01-BS1.191e5013-1371-43f9-a9a2-c9bc09cbeaaf,True,False,False
TCGA-KL-8330-01Z-00-DX1.30a61e5b-9379-498a-9aa4-60fd7a3a2f32,True,False,False
TCGA-KL-8330-11A-01-TS1.c98209ca-656f-4873-ad6e-887374fa0034,True,False,False
TCGA-KL-8331-01A-01-BS1.67842e81-76d7-4553-b247-cef29277ec3f,True,False,False
TCGA-KL-8331-01A-01-TS1.a494f319-b620-488c-b926-113aeafcfa70,True,False,False
TCGA-KL-8331-01Z-00-DX1.3c39f9b9-b639-4bca-a415-bf7427ea2ba5,True,False,False
TCGA-KL-8331-11A-01-TS1.9e587e52-cd1e-420a-ba18-bfdc95a6c676,True,False,False
TCGA-KL-8332-01A-01-BS1.5b2e086c-87b9-4bb0-91a8-f53352317671,True,False,False
TCGA-KL-8332-11A-01-TS1.e096e7f6-7e41-409e-8567-34893fd3368e,True,False,False
TCGA-KL-8333-01A-01-BS1.74aae00f-7043-44e4-9212-eb1297739f5a,True,False,False
TCGA-KL-8333-01A-01-TS1.70a63073-a6ee-4e2d-81e7-286a6ee3378e,True,False,False
TCGA-KL-8333-01Z-00-DX1.830e3f78-ba43-4b42-b2b5-f3be10d2b781,True,False,False
TCGA-KL-8333-11A-01-TS1.7422ed59-db8c-410a-8d04-dbab05918794,True,False,False
TCGA-KL-8334-01A-01-TS1.c33297fb-f9fe-4c51-92b3-20c4491c0bea,True,False,False
TCGA-KL-8334-11A-01-TS1.61a3e199-8e61-4941-b908-8ccd0ecfba0c,True,False,False
TCGA-KL-8335-01A-01-BS1.601a7652-cc4d-482b-9ee1-6826e6598a9c,True,False,False
TCGA-KL-8335-01Z-00-DX1.3F291515-CD98-4D8F-A255-A10A69139242,True,False,False
TCGA-KL-8335-11A-01-TS1.3c9d2f27-8737-46f3-ab61-6713568ddebe,True,False,False
TCGA-KL-8336-01A-01-BS1.04e6516e-62b1-4585-98d6-11cccedfe586,True,False,False
TCGA-KL-8336-01A-01-TS1.110ebc7a-7795-4bc3-8f32-e426cc0500da,True,False,False
TCGA-KL-8336-01Z-00-DX1.bfba9373-efa8-4573-8ee6-8ac961f0b65a,True,False,False
TCGA-KL-8336-11A-01-TS1.a3a77a96-1cf7-40d6-85b4-284371c20f03,True,False,False
TCGA-KL-8337-01A-01-BS1.270aedaf-9f6f-4ecb-bfad-474d75e98a13,True,False,False
TCGA-KL-8337-01A-01-TS1.c336c0df-73fe-4a99-8dba-90ba0b37a8af,True,False,False
TCGA-KL-8337-01Z-00-DX1.78306056-304b-44c3-87cd-46d3785b7204,True,False,False
TCGA-KL-8339-01A-01-BS1.16f42cbc-2401-4708-af14-b1f0368ca7c8,True,False,False
TCGA-KL-8339-01Z-00-DX1.5826ea77-f0a1-4b47-acd7-62a6ba878dec,True,False,False
TCGA-KL-8340-01A-01-BS1.50c75bbd-45d7-4179-b3e9-fef5a278eb1e,True,False,False
TCGA-KL-8340-01A-01-TS1.5a6db076-ea48-4b67-9879-c07bd98a1e34,True,False,False
